name,mp,pp,unweighted_claim_mistakes_per_claim,unweighted_lead_mistakes_per_lead,unweighted_mistakes_as_declarer,unweighted_mistakes_as_defender,unweighted_defender_missed_current_double,unweighted_defender_erroneously_doubled,unweighted_defender_missed_higher_contract,unweighted_declarer_missed_higher_contract,unweighted_declarer_missed_doubling_opponents_last_bid,unweighted_declarer_missed_opponents_last_redouble,unweighted_declarer_missed_redoubling_opponents_erroneous_double,unweighted_declarer_missed_opponents_last_bid,unweighted_declarer_erroneous_redouble,unweighted_passed_higher_contract
Jiri Kopriva,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.21052631578947367,0.0,0.15789473684210525,0.2631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
Petr Jires,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.21052631578947367,0.0,0.15789473684210525,0.2631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
Vit Volhejn,0.0,0.0,0.03571428571428571,0.23636363636363636,0.03460207612456748,0.02956989247311828,0.11739130434782609,0.004347826086956522,0.06956521739130435,0.22608695652173913,0.06521739130434782,0.004347826086956522,0.017391304347826087,0.004347826086956522,0.0,0.0
Tomas Fort,0.0,0.0,0.05,0.2222222222222222,0.03260869565217391,0.03734439834024896,0.1044776119402985,0.0,0.07462686567164178,0.26865671641791045,0.07462686567164178,0.0,0.0,0.014925373134328358,0.0,0.0
Brian Short,0.0,0.0,0.030035335689045935,0.1732283464566929,0.03770661157024793,0.026180698151950718,0.1515650741350906,0.0016474464579901153,0.09719934102141681,0.20098846787479407,0.07742998352553541,0.0,0.03459637561779242,0.013179571663920923,0.0,0.009884678747940691
Jack Paterson,0.0,0.0,0.027972027972027972,0.25806451612903225,0.03230769230769231,0.027083333333333334,0.17073170731707318,0.0,0.06707317073170732,0.25609756097560976,0.08536585365853659,0.0,0.012195121951219513,0.024390243902439025,0.0,0.012195121951219513
Malcolm Cuthbertson,4.0,0.0,0.029197080291970802,0.2972972972972973,0.028680688336520075,0.056179775280898875,0.11692307692307692,0.006153846153846154,0.08307692307692308,0.22153846153846155,0.10461538461538461,0.003076923076923077,0.015384615384615385,0.006153846153846154,0.0,0.0
Knud-Aage Boesgaard,15.0,4.0,0.12857142857142856,0.3333333333333333,0.015151515151515152,0.0049261083743842365,0.1518987341772152,0.0,0.0,0.25316455696202533,0.08860759493670886,0.0,0.012658227848101266,0.012658227848101266,0.0,0.0
P Drew Cannell,0.0,0.0,0.0,0.125,0.029787234042553193,0.022388059701492536,0.15,0.0,0.0,0.175,0.15,0.0,0.025,0.025,0.0,0.0
Merle Modlin,0.0,0.0,0.05263157894736842,0.0,0.11764705882352941,0.0,0.15789473684210525,0.0,0.21052631578947367,0.21052631578947367,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
