name,mp,pp,claims,claim_mistakes,weighted_claim_mistakes,leads,lead_mistakes,weighted_lead_mistakes,cards_played_as_declarer,play_mistakes_as_declarer,weighted_play_mistakes_as_declarer,cards_played_as_defender,play_mistakes_as_defender,weighted_play_mistakes_as_defender,auctions_analyzed,defender_missed_current_double,weighted_defender_missed_current_double,defender_erroneously_doubled,weighted_defender_erroneously_doubled,defender_missed_higher_contract,weighted_defender_missed_higher_contract,declarer_missed_higher_contract,weighted_declarer_missed_higher_contract,declarer_missed_doubling_opponents_last_bid,weighted_declarer_missed_doubling_opponents_last_bid,declarer_missed_opponents_last_redouble,weighted_declarer_missed_opponents_last_redouble,declarer_missed_redoubling_opponents_erroneous_double,weighted_declarer_missed_redoubling_opponents_erroneous_double,declarer_missed_opponents_last_bid,weighted_declarer_missed_opponents_last_bid,declarer_erroneous_redouble,weighted_declarer_erroneous_redouble,passed_higher_contract,weighted_passed_higher_contract  
Adolfo Mendoza,0.0,0.5,59,4,250,14,2,320,249,7,320,209,4,160,60,7.0,900.0,0,0,5.0,710.0,9.0,2340.0,5.0,2170.0,0,0,2.0,2340.0,0,0,0,0,1,70
Denis Humphries,0.0,0.0,78,2,60,23,6,1180,247,6,1080,278,13,2240,78,15.0,2350.0,0,0,4.0,990.0,17.0,4840.0,8.0,5080.0,0,0,0,0,0,0,0,0,0,0
Michael Cornell,1016.0,10.0,116,5,900,26,4,120,384,8,2310,366,9,830,119,19.0,3000.0,0,0,8.0,2610.0,32.0,9430.0,11.0,5750.0,0,0,0,0,2.0,140.0,0,0,0,0
Alberto Calvo,0.0,0.0,77,2,300,20,5,490,251,4,390,279,16,800,79,9.0,1500.0,1.0,90.0,10.0,3560.0,13.0,4870.0,9.0,7980.0,0,0,1.0,1380.0,0,0,0,0,1,120
Tony Taylor,0.0,0.0,116,5,300,28,6,2390,462,16,2670,361,7,1630,119,19.0,3000.0,0,0,8.0,2610.0,32.0,9430.0,11.0,5750.0,0,0,0,0,2.0,140.0,0,0,0,0
Aarne Rummel,2.0,0.0,56,2,320,9,2,60,192,7,330,226,7,270,65,7.0,550.0,0,0,5.0,970.0,11.0,3090.0,6.0,4070.0,0,0,2.0,1220.0,0,0,0,0,0,0
Ivar Kalma,2.0,0.0,56,2,60,20,0,0,192,15,790,209,11,2300,65,7.0,550.0,0,0,5.0,970.0,11.0,3090.0,6.0,4070.0,0,0,2.0,1220.0,0,0,0,0,0,0
Boonserm Weesakul,0.0,0.0,57,4,1300,13,2,730,198,5,1400,165,7,1980,79,22.0,12800.0,0,0,8.0,2320.0,16.0,5700.0,5.0,4670.0,0,0,0,0,2.0,960.0,0,0,1,110
Claus Daehr,0.0,0.0,20,1,50,4,1,1860,34,1,100,61,1,50,20,5.0,1200.0,0,0,0,0,5.0,2020.0,0,0,0,0,2.0,1290.0,0,0,0,0,0,0
Bernard Landwehr,0.0,0.0,20,1,50,6,2,1500,119,1,100,55,1,50,20,5.0,1200.0,0,0,0,0,5.0,2020.0,0,0,0,0,2.0,1290.0,0,0,0,0,0,0
Olavi Oja,0.0,0.0,375,9,2500,98,25,5230,1619,64,11750,1260,24,3570,408,47.0,7200.0,0,0,26.0,7780.0,78.0,24090.0,47.0,26090.0,0,0,7.0,7660.0,7.0,750.0,0,0,2,170
Martti Makela,0.0,0.0,78,4,1500,25,5,1150,183,3,110,352,15,1550,80,20.0,2900.0,0,0,4.0,690.0,13.0,2210.0,6.0,2940.0,0,0,0,0,0,0,0,0,1,620
Roland Rohowsky,86.0,3.0,595,11,1990,157,30,6880,2371,61,9830,2136,45,6490,658,90.0,21950.0,3.0,570.0,49.0,9990.0,157.0,59970.0,43.0,23050.0,1.0,460.0,7.0,-1290.0,5.0,1510.0,0,0,0,0
Jouko Paganus,0.0,0.0,78,3,780,24,6,1000,254,7,1170,349,8,1150,80,20.0,2900.0,0,0,4.0,690.0,13.0,2210.0,6.0,2940.0,0,0,0,0,0,0,0,0,1,620
Georg Nippgen,2.0,3.0,175,1,800,48,7,1630,632,23,2940,635,8,550,193,33.0,11150.0,0,0,15.0,2680.0,57.0,22250.0,6.0,3620.0,0,0,1.0,-2750.0,2.0,670.0,0,0,0,0
